"variable","label","class"
"id2","Interviewee ID","numeric"
"idhousehold2","Household ID","numeric"
"psu","Primary Sampling Unit","numeric"
"calibrated_weight","Calibrated weight","numeric"
"stratum","Stratum","numeric"
"region","Region","haven_labelled"
"area","Area","haven_labelled"
"nresidents","Total of people living in this home","numeric"
"ar8","What is the sex of the head of the household","haven_labelled"
"ar10","Age of the head of the household","numeric"
"age2","Age of the resident 2","numeric"
"sex2","Sex of the resident 2","haven_labelled"
"relationship2","Relationship with the head of the household: resident 2","haven_labelled"
"age3","Age of the resident 3","numeric"
"sex3","Sex of the resident 3","haven_labelled"
"relationship3","Relationship with the head of the household: resident 3","haven_labelled"
"age4","Age of the resident 4","numeric"
"sex4","Sex of the resident 4","haven_labelled"
"relationship4","Relationship with the head of the household: resident 4","haven_labelled"
"age5","Age of the resident 5","numeric"
"sex5","Sex of the resident 5","haven_labelled"
"relationship5","Relationship with the head of the household: resident 5","haven_labelled"
"age6","Age of the resident 6","numeric"
"sex6","Sex of the resident 6","haven_labelled"
"relationship6","Relationship with the head of the household: resident 6","haven_labelled"
"age7","Age of the resident 7","numeric"
"sex7","Sex of the resident 7","haven_labelled"
"relationship7","Relationship with the head of the household: resident 7","haven_labelled"
"age8","Age of the resident 8","numeric"
"sex8","Sex of the resident 8","haven_labelled"
"relationship8","Relationship with the head of the household: resident 8","haven_labelled"
"age9","Age of the resident 9","numeric"
"sex9","Sex of the resident 9","haven_labelled"
"relationship9","Relationship with the head of the household: resident 9","haven_labelled"
"age10","Age of the resident 10","numeric"
"sex10","Sex of the resident 10","haven_labelled"
"relationship10","Relationship with the head of the household: resident 10","haven_labelled"
"age11","Age of the resident 11","numeric"
"sex11","Sex of the resident 11","haven_labelled"
"relationship11","Relationship with the head of the household: resident 11","haven_labelled"
"age12","Age of the resident 12","numeric"
"sex12","Sex of the resident 12","haven_labelled"
"relationship12","Relationship with the head of the household: resident 12","haven_labelled"
"a1","This property is:","haven_labelled"
"a2","Is the access to the household made through a staircase?","haven_labelled"
"a3","How many steps does this staircase have?","haven_labelled"
"a4","Is there a ramp to access the household?","haven_labelled"
"a5","The access to the apartment is made by:","haven_labelled"
"a6","How many stairwells lead to the apartment?","haven_labelled"
"a7","The predominant material on the outside walls of the household is:","haven_labelled"
"a8","Is the street of the household asphalted or paved with stones or other material?","haven_labelled"
"a8_1","What is the main fuel used for cooking in this house?","haven_labelled"
"a9","How many rooms are there in this house, including living rooms, bathrooms etc.?","haven_labelled"
"a10","How many rooms are permanently serving as dormitory for the residents?","haven_labelled"
"a11","Is there running water (piped) in this house in at least one room?","haven_labelled"
"a12","How many bathrooms or toilets are there in this house?","haven_labelled"
"a13","Are there adaptations in this house for people with limited mobility?","haven_labelled"
"a14_1","Are there handrails or adaptations on the bathrooms in this house?","haven_labelled"
"a14_2","Are there handrails or adaptations in other rooms or in the areas of circulation","haven_labelled"
"a14_3","Are there handrails or adaptations on the staircases?","haven_labelled"
"a14_4","Are there other adaptations in this house not mentioned before?","haven_labelled"
"a15","Is this household registered with the Family Health Program/Strategy/Unit?","haven_labelled"
"a16","When did this household get registered?","haven_labelled"
"a17","Visit frequency by a Community Health Agent or by any other member of the FHP?","haven_labelled"
"b1","This house/property is:","haven_labelled"
"b2","Who is the main owner of this house/property?","haven_labelled"
"b3","What was the amount spent with the last monthly mortgage payment of this house/p","haven_labelled"
"b4","How much is still remaining for you to pay this house/property off?","haven_labelled"
"b5","What was the amount spent with the last rental payment of this house/property?","haven_labelled"
"b6","In your opinion, how much would this house/property be worth if it was sold now?","haven_labelled"
"b7","Excluding this house/property, do you or any other member of this household own","haven_labelled"
"b8","Excluding this house, how much all these properties would be worth?","haven_labelled"
"b9","Refrigerator","haven_labelled"
"b10","How many?","haven_labelled"
"b11","Washing machine","haven_labelled"
"b12","How many?","haven_labelled"
"b13","Dryer (attached or not to the washing machine)","haven_labelled"
"b14","How many?","haven_labelled"
"b15","Dishwasher","haven_labelled"
"b16","How many?","haven_labelled"
"b17","Microwave","haven_labelled"
"b18","How many?","haven_labelled"
"b19","Color TV","haven_labelled"
"b20","How many?","haven_labelled"
"b21","VCR and/or DVD and/or equivalent","haven_labelled"
"b22","How many?","haven_labelled"
"b23","Landline","haven_labelled"
"b24","How many?","haven_labelled"
"b25","Cellular phone","haven_labelled"
"b26","How many?","haven_labelled"
"b27","Air conditioner","haven_labelled"
"b28","How many?","haven_labelled"
"b29","Computer","haven_labelled"
"b30","How many?","haven_labelled"
"b31","Access to the Internet in this household","haven_labelled"
"b32","Cable or satellite TV  (Net, Sky, Direct TV etc)?","haven_labelled"
"b33","Motorcycles or other motor two-wheelers combustion vehicles","haven_labelled"
"b34","How many?","haven_labelled"
"b35","Automobiles","haven_labelled"
"b36","How many?","haven_labelled"
"b37","If all these vehicles were sold today, how much would they be worth?","haven_labelled"
"b38","Are there any domestic employees working at this household?","haven_labelled"
"b39","In the last month, what was the total spent with all domestic employees?","haven_labelled"
"c1","In the last week, on a typical day, how many people had meals in this house?","haven_labelled"
"c2","In the last month, how much was spent with grocery shopping, butchers, street ma","haven_labelled"
"c3","Eat legumes, vegetables, fruits, meat that are farmed, produced, caught, harvest","haven_labelled"
"c4","In the last month, what was the worth of the food produced at home that resident","haven_labelled"
"c5","In the last month, how much did you and the other residents of this household sp","haven_labelled"
"c6","In the last month, how much was spent approximately on the electricity, water, a","haven_labelled"
"c7","In the last month, how much was spent with the payment of condo fees?","haven_labelled"
"c8","In the last month, how much was spent on local transportation?","haven_labelled"
"c9","In the last month, how much was spent on fuel and maintenance of vehicles?","haven_labelled"
"c10","In the last month, how much was spent with telephone bills, cable TV and Interne","haven_labelled"
"c11","In the last month, how much was spent on leisure/entertainment?","haven_labelled"
"c12","In the last year, how much was spent with the payment of the Last Property Tax B","haven_labelled"
"c13","In the last year, how much was spent with the Automotive Ownership Tax (IPVA)?","haven_labelled"
"c14","In the last year, how much was spend on the purchase of motor vehicles?","haven_labelled"
"c15","In the last 12 months, how much was spend with education/school?","haven_labelled"
"c16","Do you or  the other residents of this household have private health insurance?","haven_labelled"
"c17","In the last month, how much was spent on private health insurance monthly fees?","haven_labelled"
"c18","In the last 12 months, how much was spend with other expenses?","haven_labelled"
"d1","Have had any income from salaries or independent activities?","haven_labelled"
"d2","What is the amount of this income?","haven_labelled"
"d3","What is the range that best represents the total of this gain?","haven_labelled"
"d4","Have received any income from retirement benefits or death pension?","haven_labelled"
"d5","What is the amount of this income?","haven_labelled"
"d6","What is the range that best represents the total of this gain?","haven_labelled"
